;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25
1. УТ.III.60.9;0;1;0;0;0;1;0;0;1;0;1;0;1;1;1;1;0;0;1;0;1;0;0;1;0
2. УТ.III.27.3;0;1;0;0;0;1;0;1;1;0;1;0;0;0;1;1;0;0;1;0;0;1;0;0;1
3. УТ.III.27.4;0;1;0;0;0;1;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1
4. УТ.III.60.12;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0;1;0;1;0
5. УТ.III.77.1;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
6. УТ.III.13.2;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
7. УТ.III.60.18;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;1;0;0;0;0;0;0;1;1;0
8. О.III.5.8;0;1;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1
9. Т.II.22.1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0
10. УТ.II.6.31;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
11. Сулек;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0
12. СЧ;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0
13.Т.III.ск;0;0;1;0;0;1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;1;0
14.ЧЛ.24.57;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
15. О.III.5.6.;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1
14.Т.III.ск;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0
15. Ангара;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
16. Ангара;1;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1
