;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18
1;;;;;;;;;;;;;;;;;;
2;0.44;;;;;;;;;;;;;;;;;
3;0.41;0.80;;;;;;;;;;;;;;;;
4;0.65;0.50;0.40;;;;;;;;;;;;;;;
5;0.04;0.08;0.10;0.20;;;;;;;;;;;;;;
6;0.04;0.08;0.10;0.20;1;;;;;;;;;;;;;
7;0.65;0.28;0.35;0.79;0.04;0.04;;;;;;;;;;;;
8;0.03;0.27;0.33;0.17;0.30;0.30;0.07;;;;;;;;;;;
9;0.21;0.13;0.07;0.14;0.11;0.11;0.14;0.02;;;;;;;;;;
10;0.14;0.27;0.19;0.07;0.03;0.03;0.07;0.11;0.37;;;;;;;;;
11;0.05;0.05;0.02;0.06;0.22;0.22;0.12;0.08;0.45;0.08;;;;;;;;
12;0.18;0.11;0.06;0.12;0.10;0.10;0.12;0.02;0.87;0.33;0.56;;;;;;;
13;0.05;0.05;0.02;0.06;0.22;0.22;0.12;0.08;0.45;0.08;1;0.56;;;;;;
14;0.14;0.27;0.19;0.07;0.03;0.03;0.07;0.11;0.37;1;0.08;0.33;0.08;;;;;
15;0.14;0.42;0.52;0.30;0.13;0.13;0.17;0.45;0.10;0.25;0.02;0.08;0.02;0.25;;;;
16;0.21;0.06;0.07;0.14;0.11;0.11;0.14;0.10;0.73;0.21;0.28;0.64;0.29;0.21;0.10;;;
17;0.14;0.27;0.19;0.07;0.03;0.03;0.07;0.11;0.37;1;0.08;0.33;0.02;1;0.25;0.21;;
18;0.14;0.27;0.19;0.07;0.03;0.03;0.07;0.11;0.37;1;0.08;0.33;0.02;1;0.25;0.21;1;
